rep_id,side,depth_deg,rom_ratio,fppa_peak,fppa_at_depth,trunk_lean_peak,trunk_flex_peak,pelvic_drop_peak,pelvic_shift_peak,hip_adduction_peak,knee_offset_peak,sway_norm,smoothness,errors_count,classification,err_knee_valgus,err_trunk_lean,err_trunk_flex,err_pelvic_drop,err_pelvic_shift,err_hip_adduction,err_knee_over_foot,err_balance,start_frame,bottom_frame,end_frame,duration_ms,confidence
1,left,97.24,0.720,97.24,88.91,39.21,61.07,44.87,0.0924,0.00,5.2760,0.0270,347.821,5,poor,1,1,1,1,0,0,1,0,905,990,1029,2073,0.938
2,left,100.40,0.744,100.40,98.12,26.57,44.53,44.97,0.0638,0.00,4.0114,0.0326,320.352,4,poor,1,1,0,1,0,0,1,0,1064,1131,1175,1869,0.947
1,right,117.32,0.869,117.32,105.33,34.17,41.80,45.00,0.2107,0.00,7.0827,0.0673,306.550,6,poor,1,1,0,1,1,0,1,1,39,122,161,2135,0.954
2,right,107.87,0.799,107.87,107.87,27.61,39.33,45.00,0.1105,0.00,15.8836,0.0384,298.526,5,poor,1,1,0,1,1,0,1,0,204,269,316,1934,0.958
3,right,107.29,0.795,107.29,105.21,28.83,31.63,44.98,0.0871,0.00,18.6158,0.0382,239.131,4,poor,1,1,0,1,0,0,1,0,373,410,480,1841,0.955
4,right,106.47,0.789,106.47,106.47,33.91,32.09,45.00,0.1171,0.00,8.8850,0.0360,1055.954,5,poor,1,1,0,1,1,0,1,0,560,588,695,2310,0.960
1,left,51.42,0.381,51.42,38.21,22.43,21.84,43.71,0.0070,160.67,5.3402,0.0019,163.347,5,poor,1,1,0,1,1,0,1,0,13,19,31,299,0.668
2,left,53.27,0.395,53.27,47.07,21.47,40.47,42.78,0.0311,168.87,4.9951,0.0092,148.786,5,poor,1,1,0,1,0,1,1,0,169,218,268,1726,0.656
3,left,64.29,0.476,64.29,50.57,7.27,22.46,45.00,0.0677,170.77,27.2842,0.0258,186.242,4,poor,1,0,0,1,0,1,1,0,329,395,428,1739,0.704
1,right,46.37,0.343,46.37,29.84,11.64,23.95,30.83,0.0549,179.99,6.6105,0.0164,158.003,5,poor,1,1,0,1,0,1,1,0,19,64,146,2229,0.604
2,right,53.10,0.393,53.10,50.81,9.52,39.70,23.82,0.0282,179.96,13.8060,0.0159,173.875,3,fair,1,0,0,1,0,0,1,0,196,285,314,2055,0.693
3,right,61.58,0.456,61.58,48.69,25.24,15.76,32.30,0.0483,179.97,16.5036,0.0159,282.573,5,poor,1,1,0,1,0,1,1,0,426,488,535,1910,0.673
